place,count
"Troy, Mich.",1
"Tucson, Ariz.",3
"Tulsa, Okla.",1
"Tuscaloosa, Ala.",1
"Tyler, Texas",1
"Ulen, Minn.",1
"Union City, N.J.",1
"University Place, Wash.",1
"Vacaville, Calif.",1
"Valencia, Calif.",1
"Waco, Texas",1
"Warrington, Pa.",1
"Washington, D.C.",9
"Watertown, Mass.",1
"Waukesha, Wis.",1
"Wellesley, Mass.",1
"West Haven, Conn.",1
"Western Springs, Ill.",1
"Westfield, Mass.",1
"Westfield, N.J.",1
"Westlake Village, Calif.",1
"Westland, Mich.",1
"Westminster, Md.",1
"Westport, Conn.",1
"Wheaton, Ill.",1
"White Plains, N.Y.",2
"Worcester, Mass.",1
"Wrightsville, Pa.",1
"Yonkers, N.Y.",1
"Zephyr Cove, Nev.",1
